0.5,6.14,2.06
0.533,5.84,2.13
0.567,5.59,2.21
0.6,5.32,2.27
0.633,5.06,2.32
0.667,4.82,2.36
0.7,4.58,2.39
0.733,4.36,2.37
0.767,4.1,2.38
0.8,3.88,2.34
0.833,3.66,2.33
0.867,3.41,2.3
0.9,3.21,2.29
0.933,3.01,2.26
0.967,2.76,2.24
1,2.59,2.17
1.033,2.38,2.1
1.067,2.17,2.03
1.1,1.98,1.96
1.133,1.79,1.88
1.167,1.57,1.79
1.2,1.4,1.71
1.233,1.19,1.6
1.267,1.02,1.48
1.3,0.84,1.35
1.333,0.68,1.22
1.367,0.47,1.07
1.4,0.31,0.91
1.433,0.12,0.76
